,numero_national_de_structure,libelle,sigle,annee_de_creation,type_de_structure,code_de_type_de_structure,code_de_niveau_de_structure,site_web,adresse,code_postal,commune,nom_du_responsable,prenom_du_responsable,titre_du_responsable,label_numero,tutelles,sigles_des_tutelles,code_de_nature_de_tutelle,nature_de_tutelle,uai_des_tutelles,siret_des_tutelles,code_de_type_de_tutelle,type_de_tutelle,numero_de_structure_enfant,numero_de_structure_parent,numero_de_structure_historique,type_de_succession,code_de_type_de_succession,annee_d_effet_historique,code_domaine_scientifique,domaine_scientifique,code_panel_erc,panel_erc,fiche_rnsr,grid
1674,200819994C,"NANOALLIAGES : SYNTHESE, STRUCTURES ET PROPRIETES",Nanoalliages,2008,Groupements de Recherche,32,3,,UNIVERSITE DENIS DIDEROT PARIS 7 LMPQ  Bât. Condorcet BP 7021,75205,PARIS CEDEX 13,RICOLLEAU,Christian,DIR,GDR 3182,Centre national de la recherche scientifique,CNRS,EPST,Organismes de type EPST,0753639Y,18008901303720,TUTE,établissement tutelle,,,,,,,2,Physique,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200819994C&PUBLIC=OK,
1675,201822740U,"Laboratoire de Mécanique, Multiphysique et Multiéchelle",LaMcube,2018,Unité mixte,22,2,,"UNIVERSITE SCIENCES ET TECHNOLOGIES DE LILLE, Bâtiment M6, Bvd Paul Langevin",59655,VILLENEUVE D ASCQ CEDEX,DESPLANQUES;COLLIAT,Yannick;Jean-Baptiste,DIR-ADJ;DIR,UMR 9013;UMR 9013;UMR 9013,Centrale Lille Institut;Centre national de la recherche scientifique;Université de Lille,CLI;CNRS;LILLE,AUT_ETAB;EPST;UNIV,Autres établissements ESR;Organismes de type EPST;Université,0597139P;0753639Y;0597065J,19590349700012;18008901303720;13002358300011,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,,,200212764V,éclatement,E,2018,8,Sciences pour l'ingénieur,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201822740U&PUBLIC=OK,
1680,201923490E,Singapore PartnershIp with Cnrs for Excellence in Science,SPICES,2019,Unité propre,21,2,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS@CREATE 1 Create Way,13860,SINGAPOUR,BAILLARGEAT,Dominique,DIR,UAR 2001,Centre national de la recherche scientifique,CNRS,EPST,Organismes de type EPST,0753639Y,18008901303720,TUTE,établissement tutelle,,,,,,,1,Mathématiques et leurs interactions,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201923490E&PUBLIC=OK,
1681,202023508V,Fédération Parisienne de Modélisation Mathématique,FP2M,2020,Structures Fédératives de Recherche,3,3,,Fédération Parisienne de Modélisation Mathématique-UMR8145 - MAP5 45 rue des Saints-Père,75270,PARIS CEDEX 06,CHAMBAZ,Antoine,DIR,;;FR 2036,Université Panthéon-Sorbonne Paris 1;Université Paris Nanterre;Centre national de la recherche scientifique,PARIS 1;PARIS 10;CNRS,UNIV;UNIV;EPST,Université;Université;Organismes de type EPST,0751717J;0921204J;0753639Y,19751717000019;19921204400010;18008901303720,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,,,,,,,1,Mathématiques et leurs interactions,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023508V&PUBLIC=OK,
1683,202023515C,Biologie structurale intégrative,,2020,Equipe interne,1,1,,INSTITUT PASTEUR DE LILLE - 1 RUE DU PROFESSEUR CALMETTE 245,59019,LILLE CEDEX,LANDRIEU,Isabelle,DIR,EMR 9002;;;ERL 9002,Centre national de la recherche scientifique;Institut national de la sante et de la recherche medicale;Institut Pasteur de Lille;Université de Lille,CNRS;INSERM;INST PASTEUR LILLE;LILLE,EPST;EPST;FONDATION;UNIV,"Organismes de type EPST;Organismes de type EPST;Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);Université",0753639Y;0755364Y;0596852C;0597065J,18008901303720;18003604800015;78369683400010;13002358300011,TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,,200616418Z,,,,,5,"Biologie, médecine et santé",,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023515C&PUBLIC=OK,
1684,202023524M,Laboratoire de physique des 2 infinis – Irène Joliot-Curie,,2020,Unité mixte,22,2,https://www.ijclab.in2p3.fr,IJCLab - Laboratoire de Physique des 2 Infinis - Irène Joliot-Curie - 15 rue Georges Clemenceau,91405,Orsay cedex,IBRAHIM;DESCOTES-GENON;STOCCHI,Fadi;Sébastien;Achille,Directeur adjoint;Directeur adjoint;DIR,UMR 9012;;,Centre national de la recherche scientifique;Université de Paris;Université Paris-Saclay,CNRS;U PARIS;U PARIS-SACLAY,EPST;UNIV;UNIV,Organismes de type EPST;Université;Université,0753639Y;0755976N;0912408Y,18008901303720;13002573700011;13002602400013,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,,,199812936Z;200612817K;199812935Y;199812934X;199812952S,fusion;fusion;fusion;fusion;fusion,F;F;F;F;F,2020;2020;2020;2020;2020,2,Physique,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023524M&PUBLIC=OK,grid.508754.b
1686,201822739T,"- UMR  9014 - Laboratoire de Mécanique des Fluides de Lille, Kampé de Fériet",LMFL-Kampé,2018,Unité mixte,22,2,,"UNIVERSITE SCIENCES ET TECHNOLOGIES DE LILLE, Bâtiment M6, Bvd Paul Langevin",59655,VILLENEUVE D ASCQ CEDEX,LAVAL;MIALON,Jean-Philippe;Bruno,DIR;DIR-ADJ,UMR 9014;;UMR 9014;;UMR 9014,Centrale Lille Institut;Ecole Nationale Supérieure d'Arts et Métiers;Centre national de la recherche scientifique;Office National d'Etudes et de Recherches Aerospatiales;Université de Lille,CLI;ENSAM;CNRS;ONERA;LILLE,AUT_ETAB;AUT_ETAB;EPST;EPIC;UNIV,Autres établissements ESR;Autres établissements ESR;Organismes de type EPST;Organismes de type EPIC;Université,0597139P;0753237L;0753639Y;0922641W;0597065J,19590349700012;19753472000010;18008901303720;77572287900084;13002358300011,TUTE;TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,201923903D;201923902C;201923901B,,200212764V,éclatement,E,2018,8,Sciences pour l'ingénieur,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201822739T&PUBLIC=OK,grid.510389.6
1691,198422700Y,Laboratoire Architecture Anthropologie,LAA,1984,Unité mixte,22,2,http://www.laa.archi.fr/,144 avenue de Flandre,75019,Paris,DE BIASE,Alessia,,LAA-LAVUE 7218;;,Ecole Nationale Supérieure d'Architecture de Paris-La-Villette;Centre national de la recherche scientifique;Ministère de la culture,EC. ARCHI. VILLETTE;CNRS;MIN.CULT,AUT_ETAB;EPST;AUT_OP_FR,Autres établissements ESR;Organismes de type EPST;Autre opérateur de droit français,0751875F;0753639Y;,19751875600014;18008901303720;11004601800013,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,,,,,,,6,Sciences humaines et humanités,SH5;SH2,"Cultures and Cultural Production : Literary studies, cultural studies, study of the arts, philosophy;Institutions, Governance and Legal Systems : Political science, international relations, law",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=198422700Y&PUBLIC=OK,
1694,202023509W,"Lumière, nanomatériaux, nanotechnologies - CNRS EMR7004",L2n,2020,Unité mixte,22,2,https://recherche.utt.fr/light-nanomaterials-nanotechnologies-l2n,"12 rue Marie Curie, CS 42060",10004,TROYES CEDEX,COUTEAU,Christophe,DIR,UR UTT 003;EMR 7004,Université de Technologie de Troyes;Centre national de la recherche scientifique,UT TROYES;CNRS,UNIV;EPST,Université;Organismes de type EPST,0101060Y;0753639Y,19101060200032;18008901303720,TUTE;TUTE,établissement tutelle;établissement tutelle,,,201423217E,renouvellement,R,2020,2;4;5;8;9,"Physique;Chimie;Biologie, médecine et santé;Sciences pour l'ingénieur;Sciences et technologies de l'information et de la communication",PE4;PE5;PE3;PE7;LS7;PE2,"Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics;Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry;Condensed matter physics : structure, electronic properties, fluids, nanosciences, biological physics;Systems and communication engineering : Electrical, electronic, communication, optical and systems engineering;Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine;Fundamental constituents of matter : particle, nuclear, plasma, atomic, molecular, gas, and optical physics",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023509W&PUBLIC=OK,grid.27729.39
1696,201822736P,"Fédération de chimie ""Le Bel""",,2018,Structures Fédératives de Recherche,3,3,,"UNIVERSITE DE STRASBOURG, 1 rue Blaise Pascal",67008,STRASBOURG CEDEX,LEPOITTEVIN,Jean-Pierre,DIR,FR 2010;,Centre national de la recherche scientifique;Université Strasbourg,CNRS;U. STRASBOURG,EPST;UNIV,Organismes de type EPST;Université,0753639Y;0673021V,18008901303720;13000545700010,TUTE;TUTE,établissement tutelle;établissement tutelle,,,201422360Y,renouvellement,R,2018,,,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201822736P&PUBLIC=OK,
1722,201622926E,RF-ELITE,RF-ELITE,2016,Equipe interne,1,1,http://www.xlim.fr/recherche/pole-electronique/rf-elite,"123, avenue Albert Thomas",87060,LIMOGES CEDEX,RATIER,Bernard,,;,Université Limoges;Centre national de la recherche scientifique,LIMOGES;CNRS,UNIV;EPST,Université;Organismes de type EPST,0870669E;0753639Y,19870669900321;18008901303720,TUTE;TUTE,établissement tutelle;établissement tutelle,,201220195D,,,,,9,Sciences et technologies de l'information et de la communication,PE7,"Systems and communication engineering : Electrical, electronic, communication, optical and systems engineering",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201622926E&PUBLIC=OK,
1727,201422981Y,Laboratoire Colloïdes et Matériaux Divisés,LCMD,2014,Equipe interne,1,1,,10 rue Vauquelin,75005,PARIS,BIBETTE,Jérôme,,;,Ecole Supérieure de Physique et Chimie Industrielle de la Ville de Paris;Centre national de la recherche scientifique,ESPCI PARIS;CNRS,AUT_ETAB;EPST,Autres établissements ESR;Organismes de type EPST,0753429V;0753639Y,20000068500012;18008901303720,TUTE;TUTE,établissement tutelle;établissement tutelle,,201420759H,,,,,4,Chimie,PE4,"Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201422981Y&PUBLIC=OK,grid.463909.1
1728,200212699Z,"UMR 8026 - CERAPS - Centre d'Etudes et de Recherches Administratives, Politiques et Sociales",,1979,Unité mixte,22,2,http://ceraps.univ-lille2.fr/,1 Place Deliot,59024,LILLE CEDEX,DOUILLET,Anne-Cécile,Directrice,UMR 8026;UMR 8026;UMR 8026,Centre national de la recherche scientifique;Université de Lille;Institut Etudes Politiques Lille,CNRS;LILLE;IEP LILLE,EPST;UNIV;AUT_ETAB,Organismes de type EPST;Université;Autres établissements ESR,0753639Y;0597065J;0595876S,18008901303720;13002358300011;19595876400035,TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement participant,,,,,,,7,Sciences de la société,SH2;SH3,"Institutions, Governance and Legal Systems : Political science, international relations, law;The Social World and Its Diversity : Sociology, social psychology, social anthropology, education sciences, communication studies",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200212699Z&PUBLIC=OK,grid.463825.e
1730,201823586N,"Bébé, petite Enfance en COntextes",BECO,2018,Groupements d'Intérêt scientifique,31,3,https://beco.univ-tlse2.fr/,UFTMP - 41 allées Jules Guesdes,31013,TOULOUSE Cedex 3,Zaouche Gaudron,Chantal,DIR,;;;;;,Université Sciences Sociales Toulouse 1;Université Toulouse - Jean Jaurès;Université Toulouse 3 - Paul Sabatier;Centre national de la recherche scientifique;Institut national de la sante et de la recherche medicale;Université fédérale de Toulouse Midi-Pyrénées,TOULOUSE 1;TOULOUSE 2;TOULOUSE 3;CNRS;INSERM;COMUE TOULOUSE,UNIV;UNIV;UNIV;EPST;EPST;SITE,Université;Université;Université;Organismes de type EPST;Organismes de type EPST;Site,0311382J;0311383K;0311384L;0753639Y;0755364Y;0312758E,19311382600013;19311383400017;19311384200010;18008901303720;18003604800015;13002132200016,TUTE;TUTE;TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,,,,,,,5,"Biologie, médecine et santé",,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201823586N&PUBLIC=OK,
1734,201119591B,"Biodiversité, Eau, Environnement, Ville, Santé",BioEEnViS,2016,Structures Fédératives de Recherche,3,3,http://bioenvis.universite-lyon.fr,"UNIVERSITE CLAUDE BERNARD, 6 rue Raphaël Dubois, Bâtiment Darwin C",69622,VILLEURBANNE CEDEX,LE ROUX;PIEGAY,Xavier;Hervé,Directeur;Directeur adjoint,FED 41;FED 41;FR 3728;FED 41;FR 3728;FED 41;FED 41,"Institut National des Sciences Appliquées Lyon;VetAgro Sup;Université Claude Bernard Lyon 1;Ecole Nationale des Travaux Publics de l'Etat Lyon;Centre national de la recherche scientifique;Institut national de la recherche en informatique et automatique;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement",INSA LYON;VETAGRO SUP;LYON 1;ENTPE LYON;CNRS;INRIA;INRAE,AUT_ETAB;AUT_ETAB;UNIV;AUT_ETAB;EPST;EPST;EPST,Autres établissements ESR;Autres établissements ESR;Université;Autres établissements ESR;Organismes de type EPST;Organismes de type EPST;Organismes de type EPST,0690192J;0690193K;0691774D;0692566P;0753639Y;0780491K;,19690192000013;13000858400018;19691774400019;13000288400018;18008901303720;18008904700013;18007003901803,TUTE;TUTE;TUTE;TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,200711907S;200317640R;199911718W;199511997S;199411998X,,,,,,10,Sciences agronomiques et écologiques,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201119591B&PUBLIC=OK,
1739,201922970P,Laboratoire Interdisciplinaire d’Études sur les Réflexivités - Fonds Yann Thomas,LIER,2019,Unité mixte,22,2,http://lier.ehess.fr/,"ECOLE DES HAUTES ÉTUDES EN SCIENCES SOCIALES 10, Rue Monsieur Le Prince",75006,PARIS 06,LEMIEUX;CHRIST,Cyril;Julia,DIR;directrice adjointe,;UMR 8065,Ecole des Hautes Etudes en Sciences Sociales Paris;Centre national de la recherche scientifique,EHESS PARIS;CNRS,AUT_ETAB;EPST,Autres établissements ESR;Organismes de type EPST,0753742K;0753639Y,19753742600011;18008901303720,TUTE;TUTE,établissement tutelle;établissement tutelle,,,200612825U,éclatement,E,2019,6,Sciences humaines et humanités,SH2,"Institutions, Governance and Legal Systems : Political science, international relations, law",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201922970P&PUBLIC=OK,
1746,202123692R,Centre d'exploration fonctionnelle scientifique,CEFOS,2021,Unité mixte,22,2,,CEFOS-Faculté de Médecine de la Timone -27 bd Jean Moulin,13385,MARSEILLE CEDEX 05,LOPEZ,Erica,DIR,UAR 2020;;,Centre national de la recherche scientifique;Institut national de la sante et de la recherche medicale;Université Aix-Marseille,CNRS;INSERM;AIX-MARSEILLE,EPST;EPST;UNIV,Organismes de type EPST;Organismes de type EPST;Université,0753639Y;0755364Y;0134009M,18008901303720;18003604800015;13001533200013,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,,,,,,,5,"Biologie, médecine et santé",,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202123692R&PUBLIC=OK,
1752,200512532E,"Dynamique de l'information génétique : bases fondamentales et cancer, UMR3244",DIG-CANCER,2009,Unité mixte,22,2,https://science.curie.fr/recherche/developpement-cancer-genetique-epigenetique/dynamique-de-linformation-genetique/,"Institut Curie, Centre de Recherche, 26 rue d'Ulm",75248,PARIS CEDEX 05,BORDE;MORILLON,Valérie;Antonin,DIR. ADJ.;DIR.,UMR 3244;UMR 3244;UMR 3244;UMR 3244,Institut Curie Paris;Centre national de la recherche scientifique;Sorbonne Université;Université Paris sciences et lettres,INS.CURIE;CNRS;SORBONNE UNIV.;PSL,FONDATION;EPST;UNIV;UNIV,"Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);Organismes de type EPST;Université;Université",0753172R;0753639Y;0755890V;0756036D,78425716400011;18008901303720;13002338500011;13002614900018,TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,,,,,,,5,"Biologie, médecine et santé",LS2;LS1,"Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine;Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200512532E&PUBLIC=OK,
1753,202123696V,Archaeozoology in Siberia and Central Asia,ZooSCAn,2021,Unité mixte internationale,23,2,,"Instit of Archeology and Ethnography-17, Ac. Lavrentieva ave.",63009,NOVOSIBIRSK-RUSSIE,RENDU;VASILIEV,William;Sergei,DIR;directeur adjoint,IRL 2013,Centre national de la recherche scientifique,CNRS,EPST,Organismes de type EPST,0753639Y,18008901303720,TUTE,établissement tutelle,,,,,,,10,Sciences agronomiques et écologiques,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202123696V&PUBLIC=OK,
1754,202123712M,Laboratoire Méthodes Formelles,LMF,2021,Unité mixte,22,2,http://lmf@cnrs.fr,"ENS Paris-Saclay, 4 avenue des Sciences",91190,GIF-SUR-YVETTE,BOUYER-DECITRE;CONTEJEAN,Patricia;Evelyne,DIR;directrice adjointe,;UMR 9021;;;,Ecole normale supérieure Paris-Saclay;Centre national de la recherche scientifique;Université Paris-Saclay;Institut national de la recherche en informatique et automatique;CentraleSupélec,ENS Paris-Saclay;CNRS;U PARIS-SACLAY;INRIA;CENTRALESUPELEC,AUT_ETAB;EPST;UNIV;EPST;AUT_ETAB,Autres établissements ESR;Organismes de type EPST;Université;Organismes de type EPST;Autres établissements ESR,0912423P;0753639Y;0912408Y;0780491K;0912341A,19940607500010;18008901303720;13002602400013;18008904700013;13002076100016,TUTE;TUTE;TUTE;PART;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement participant;établissement participant,202124178U,,199812948M;199812967H,éclatement - fusion;éclatement - fusion,EF;EF,2021;2021,9,Sciences et technologies de l'information et de la communication,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202123712M&PUBLIC=OK,
1759,201523749D,Physicochimie de l’Environnement,,2015,Equipe interne,1,1,http://lasir.cnrs.fr,,,,BILLON,Gabriel,DIR,;,Centre national de la recherche scientifique;Université de Lille,CNRS;LILLE,EPST;UNIV,Organismes de type EPST;Université,0753639Y;0597065J,18008901303720;13002358300011,TUTE;TUTE,établissement tutelle;établissement tutelle,,199812845A,,,,,4,Chimie,PE4,"Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201523749D&PUBLIC=OK,
1760,202023759T,Normes et pratiques sociales,,2020,Equipe interne,1,1,http://chj-cnrs.univ-lille2.fr/accueil/,"Faculté de Droit, 1 Place Déliot",59000,LILLE,DUBOIS;LEKEAL,Bruno;Farid,;,;,Centre national de la recherche scientifique;Université de Lille,CNRS;LILLE,EPST;UNIV,Organismes de type EPST;Université,0753639Y;0597065J,18008901303720;13002358300011,TUTE;TUTE,établissement tutelle;établissement tutelle,,200212698Y,,,,,7,Sciences de la société,SH2,"Institutions, Governance and Legal Systems : Political science, international relations, law",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023759T&PUBLIC=OK,
1765,196123864N,Physique des particules,,1958,Equipe interne,1,1,https://www.cpht.polytechnique.fr/?q=fr/node/7,CPHT Route de Saclay,91128,Palaiseau,MUNIER,Stéphane,DIR,;;;,Ecole Polytechnique;Centre national de la recherche scientifique;Institut polytechnique de Paris;Collège de France Paris,EC. POLYTECHNIQUE;CNRS;IP PARIS;COLL.DE FRANCE,AUT_ETAB;EPST;AUT_ETAB;AUT_ETAB,Autres établissements ESR;Organismes de type EPST;Autres établissements ESR;Autres établissements ESR,0911568K;0753639Y;0912403T;0753480A,19911568400011;18008901303720;13002562000019;19753480300014,TUTE;TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement participant,,199719343T,,,,,2,Physique,PE2,"Fundamental constituents of matter : particle, nuclear, plasma, atomic, molecular, gas, and optical physics",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=196123864N&PUBLIC=OK,
1766,196123867S,Théorie des plasmas,,1958,Equipe interne,1,1,https://www.cpht.polytechnique.fr/?q=fr/node/465,CPHT Route de Saclay,91128,Palaiseau,HÜLLER,Stefan,DIR,;;;,Ecole Polytechnique;Centre national de la recherche scientifique;Institut polytechnique de Paris;Collège de France Paris,EC. POLYTECHNIQUE;CNRS;IP PARIS;COLL.DE FRANCE,AUT_ETAB;EPST;AUT_ETAB;AUT_ETAB,Autres établissements ESR;Organismes de type EPST;Autres établissements ESR;Autres établissements ESR,0911568K;0753639Y;0912403T;0753480A,19911568400011;18008901303720;13002562000019;19753480300014,TUTE;TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement participant,,199719343T,,,,,2,Physique,PE2;PE9,"Fundamental constituents of matter : particle, nuclear, plasma, atomic, molecular, gas, and optical physics;Universe Sciences : Astro-physics/-chemistry/-biology;solar system;planetary systems;stellar, galactic and extragalactic astronomy;cosmology;space sciences;astronomical instrumentation and data",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=196123867S&PUBLIC=OK,
1767,200623881L,CATALYSE HETEROGENE,,2006,Equipe interne,1,1,http://uccs.univ-lille1.fr,Bat C3 - Cité Scientifique,59650,Villeneuve d'Ascq,LAMONIER,Carole,,;;;,Centrale Lille Institut;Université Artois;Centre national de la recherche scientifique;Université de Lille,CLI;ARTOIS;CNRS;LILLE,AUT_ETAB;UNIV;EPST;UNIV,Autres établissements ESR;Université;Organismes de type EPST;Université,0597139P;0623957P;0753639Y;0597065J,19590349700012;19624401600016;18008901303720;13002358300011,TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,,200612828X,,,,,4,Chimie,PE5,"Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200623881L&PUBLIC=OK,
1772,202123656B,FrenCh austRalian labOratory for humanS/autonomouS agents teamING,CROSSING,2021,Unité mixte internationale,23,2,,"University of Adelaide, Adelaide SA 5005, AUSTRALIA",,,DIGUET,Jean-Philippe,DIR,IRL 2010,Centre national de la recherche scientifique,CNRS,EPST,Organismes de type EPST,0753639Y,18008901303720,TUTE,établissement tutelle,,,,,,,9,Sciences et technologies de l'information et de la communication,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202123656B&PUBLIC=OK,
1774,202123708H,Télescope Canada France Hawaii,CFHT,2021,Unité mixte,22,2,,CFHT Corporation-65-1238 Mamalahoa Hwy,,KAMUELA HAWAI-USA,SIMONS,Doug,DIR,UAR 2208,Centre national de la recherche scientifique,CNRS,EPST,Organismes de type EPST,0753639Y,18008901303720,TUTE,établissement tutelle,,,,,,,3,"Sciences de la terre et de l'univers, espace",,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202123708H&PUBLIC=OK,
1779,200810697X,"INSTITUT NORMAND DE CHIMIE MOLÉCULAIRE, MÉDICINALE ET MACROMOLÉCULAIRE",INC3M,2008,Structures Fédératives de Recherche,3,3,,Rue Tesnière,76821,MONT ST AIGNAN CEDEX,FRANCK;LEQUEUX;LE CERF,Xavier;Thierry;Didier,;DIR;DIR-ADJ,;;;;;FR 3038,Université de Caen Normandie;Ecole Nationale Supérieure Ingénieurs Caen;Institut National des Sciences Appliquées Rouen;Université Rouen;Université Le Havre;Centre national de la recherche scientifique,CAEN;ENSI CAEN;INSA ROUEN;ROUEN;LE HAVRE;CNRS,UNIV;AUT_ETAB;AUT_ETAB;UNIV;UNIV;EPST,Université;Autres établissements ESR;Autres établissements ESR;Université;Université;Organismes de type EPST,0141408E;0141720U;0760165S;0761904G;0762762P;0753639Y,19141408500016;19141720300012;19760165100023;19761904200017;19762762300097;18008901303720,TUTE;TUTE;TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,200816911B;200012115Y;199612302U,,,,,,4;5,"Chimie;Biologie, médecine et santé",,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200810697X&PUBLIC=OK,
1780,200810701B,Institut de Recherche sur les Matériaux avancés,IRMA,2008,Structures Fédératives de Recherche,3,3,http://irma.crihan.fr,6 bd du marechal Juin,14050,CAEN CEDEX 4,GOURBILLEAU,Fabrice,Directeur,;FR 3095;;;;;,Ecole Nationale Supérieure Ingénieurs Caen;Centre national de la recherche scientifique;Université de Caen Normandie;Institut National des Sciences Appliquées Rouen;Université Rouen;Commissariat à l'énergie atomique et aux énergies alternatives;Groupe EDF,ENSI CAEN;CNRS;CAEN;INSA ROUEN;ROUEN;CEA;EDF,AUT_ETAB;EPST;UNIV;AUT_ETAB;UNIV;EPIC;PRIVE,Autres établissements ESR;Organismes de type EPST;Université;Autres établissements ESR;Université;Organismes de type EPIC;Société de droit privé française,0141720U;0753639Y;0141408E;0760165S;0761904G;0912281K;,19141720300012;18008901303720;19141408500016;19760165100023;19761904200017;77568501900587;55208131779087,TUTE;TUTE;PART;PART;PART;PART;PART,établissement tutelle;établissement tutelle;établissement participant;établissement participant;établissement participant;établissement participant;établissement participant,,,,,,,2;4,Physique;Chimie,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200810701B&PUBLIC=OK,
